Collection Name,Collection Summary,Family Name,Family Summary,Family URL,Family Publication Date,Geographies,Document Title,Document URL,Document Content URL,Document Type,Document Content Matches Search Phrase,Category,Languages,Source,Topic,Hazard,Sector,Keyword,Framework,Instrument,Topic,Hazard,Sector,Keyword,Framework,Instrument,Author,Author_Type
,,Resolution 37/2016 (bioethanol supply),"<p><span style=""color: rgb(36,36,36);background-color: rgb(255,255,255);font-family: Aptos Narrow;"">This Resolution sets out the distrbution of the increase in the volume of bioethanol, as mandated in Decree 543/2016, among various sugacane-processing companies, and the approval guidelines applicable to such companies. This Resolution also sets out the indicative annual volumes for mandatory bioethanol supply, subject to fluctuation according to the demand for bioethanol.</span></p>
",https://app.climatepolicyradar.org/documents/resolution-37-2016-bioethanol-supply_0559,2016-06-04T00:00:00+00:00,ARG,Resolution 37/2016 (bioethanol supply),https://app.climatepolicyradar.org/documents/resolution-37-2016-bioethanol-supply_86d4,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-37-2016-260152,Resolution,n/a,Executive,Spanish,CCLW,Mitigation,,Energía,Biofuels;Energía;Energía Supply,,,Mitigation,,Energía,Biofuels;Energía;Energía Supply,,,,
,,Resolution E 202/2016 (renewable energy projects),"<p style=""text-align:start;""><span style=""color: rgb(0,0,0);"">This Resolution sets out a new framework for renewable energy projects, retaining selected conditions of particular previous projects while introducing new conditions. The projects must commit a minimum level of energy supply defines the prices of electricity in relation to supply contracts, to adjust the prices to the reality of the market.</span></p>
",https://app.climatepolicyradar.org/documents/resolution-e-202-2016-renewable-energy-projects_8a3d,2016-09-28T00:00:00+00:00,ARG,Resolution E 202/2016 (renewable energy projects),https://app.climatepolicyradar.org/documents/resolution-e-202-2016-renewable-energy-projects_2df1,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-202-2016-265962,Resolution,n/a,Executive,Spanish,CCLW,Mitigation,,Energía,Energía Supply;Renewables,,,Mitigation,,Energía,Energía Supply;Renewables,,,,
,,Law No. 27209 (tax exemptions on liquid fuels and natural gas),"<p style=""text-align:start;""><span style=""color: rgb(0,0,0);"">This law introductions tax exemptions on liquid fuels and natural gas when they are intended for consumption in certain areas of influence in Argentina: provinces of Neuquén, La Pampa, Río Negro, Chubut, Santa Cruz, Tierra del Fuego, Antarctica and South Atlantic Islands, the Party of Patagones of the province of Buenos Aires and the Department of Malargüe of the province of Mendoza.</span></p>
",https://app.climatepolicyradar.org/documents/law-no-27209-tax-exemptions-on-liquid-fuels-and-natural-gas_96cd,2025-11-04T00:00:00+00:00,ARG,Law No. 27209 (tax exemptions on liquid fuels and natural gas),https://app.climatepolicyradar.org/documents/law-no-27209-tax-exemptions-on-liquid-fuels-and-natural-gas_b8b5,https://www.argentina.gob.ar/normativa/nacional/ley-27209-255596/texto,Law,n/a,Legislative,Spanish,CCLW,Mitigation,,Energía,Tax Incentives;Tax;Oil And Gas,,,Mitigation,,Energía,Tax Incentives;Tax;Oil And Gas,,,,
,,Law 27.592 or Yolanda's Law,"<p>This law aims to improve climate literacy by guaranteeing comprehensive environmental training, with a sustainable development perspective and with special emphasis on climate change, for people who work in public office. It was sanctioned on November 17, 2020 and operating regulations were approved on July 28, 2021.</p><p><br></p><p><br></p>",https://app.climatepolicyradar.org/documents/law-27592-or-yolandas-law-feb7,2020-11-17T00:00:00+00:00,ARG,Ley Yolanda Complete Text,https://app.climatepolicyradar.org/documents/ley-yolanda-complete-text-3f08,https://www.argentina.gob.ar/normativa/nacional/ley-27592-345172/texto,Law,n/a,Legislative,Spanish,CCLW,,,Public Sector,,,,,,Public Sector,,,,,
,,Law 27.592 or Yolanda's Law,"<p>This law aims to improve climate literacy by guaranteeing comprehensive environmental training, with a sustainable development perspective and with special emphasis on climate change, for people who work in public office. It was sanctioned on November 17, 2020 and operating regulations were approved on July 28, 2021.</p><p><br></p><p><br></p>",https://app.climatepolicyradar.org/documents/law-27592-or-yolandas-law-feb7,2020-11-17T00:00:00+00:00,ARG,Operational rules,https://app.climatepolicyradar.org/documents/operational-rules-144b,https://cdn.climatepolicyradar.org/navigator/ARG/2020/law-27-592-or-yolanda-s-law_9eedd144e4f2bd9330d8a8c09bba7f72.pdf,Law,n/a,Legislative,Spanish,CCLW,,,Public Sector,,,,,,Public Sector,,,,,
,,National Strategy for International Climate Financing ,"<p>The strategy seeks to provide a clear framework to accelerate, expand and enhance the quality of   international climate financing in line with the country's sustainable development objectives and the goals of the Paris Agreement. The Strategy proposes a roadmap articulated around four strategic axes and an action plan with short, medium and long-term measures to respond to the aforementioned challenges presented by climate change.</p>
<p>Of the four strategic axes, the first focuses on the development of actions and tools to facilitate an adequate flow of information and data for the analysis of climate financing, to support investment decision-making in climate change mitigation and adaptation initiatives.</p>
<p>The second strategic axis seeks to identify the available financing sources and generate the conditions necessary to access them.</p>
<p>The third strategic axis focuses on the design and implementation of financial and economic instruments that facilitate and make viable the flow of capital necessary to advance with various transitions towards a low emissions and climate resilient economy.</p>
<p>The fourth strategic axis responds to the needs to strengthen technical and human management of relevant actors to guarantee an efficient allocation of resources between the sectors, and the structuring, execution and monitoring of international climate financing.</p>
",https://app.climatepolicyradar.org/documents/national-strategy-for-international-climate-financing_ee12,2023-06-01T00:00:00+00:00,ARG,National Strategy for International Climate Financing,https://app.climatepolicyradar.org/documents/national-strategy-for-international-climate-financing_17cf,https://cdn.climatepolicyradar.org/navigator/ARG/2023/national-strategy-for-international-climate-financing_fdf372a6bbbb16dddf304ba63295231b.pdf,Strategy,n/a,Executive,Spanish;Spanish Sign Language,CPR,Mitigation,,Economy-wide,Energía Supply;Energía Demand;Energía Efficiency;Renewables,,"Processes, plans and strategies|Governance;Climate finance tools|Economic",Mitigation,,Economy-wide,Energía Supply;Energía Demand;Energía Efficiency;Renewables,,"Processes, plans and strategies|Governance;Climate finance tools|Economic",,
,,Strategic plan for forestry and industrial forestry 2030,"<p>To sustainably manage Argentina's native forests. To become a source of development for the communities associated with them, inserting them into the productive value chains in a competitive manner.</p>
",https://app.climatepolicyradar.org/documents/strategic-plan-for-forestry-and-industrial-forestry-2030_77d3,2021-01-01T00:00:00+00:00,ARG,Strategic plan for forestry and industrial forestry 2030,https://app.climatepolicyradar.org/documents/strategic-plan-for-forestry-and-industrial-forestry-2030_049a,https://cdn.climatepolicyradar.org/navigator/ARG/2021/strategic-plan-for-forestry-and-industrial-forestry-2030_d9037bcc391ec1c26b4265e94f85bded.pdf,Plan,n/a,Executive,Spanish,CPR,Mitigation,,Agriculture;LULUCF,Forests;Agriculture;Mitigation,,"Processes, plans and strategies|Governance",Mitigation,,Agriculture;LULUCF,Forests;Agriculture;Mitigation,,"Processes, plans and strategies|Governance",,
,,Decree N. 246/2019 National plan for avoidance of food losses and waste,"<p>Decree 246/2019.</p>
",https://app.climatepolicyradar.org/documents/decree-n-246-2019-national-plan-for-avoidance-of-food-losses-and-waste_93ed,2019-04-03T00:00:00+00:00,ARG,Decree N. 246/2019 National plan for avoidance of food losses and waste,https://app.climatepolicyradar.org/documents/decree-n-246-2019-national-plan-for-avoidance-of-food-losses-and-waste_e69a,https://cdn.climatepolicyradar.org/navigator/ARG/2019/decree-n-246-2019-national-plan-for-avoidance-of-food-losses-and-waste_a4018897c56db7088349b67e6fd22151.pdf,Decree,n/a,Executive,Spanish,CPR,Mitigation,,LULUCF;Agriculture,Energía Demand;Energía Efficiency;Mitigation;Renewables,,"Processes, plans and strategies|Governance;Standards, obligations and norms|Regulation;Disclosure obligations|Regulation",Mitigation,,LULUCF;Agriculture,Energía Demand;Energía Efficiency;Mitigation;Renewables,,"Processes, plans and strategies|Governance;Standards, obligations and norms|Regulation;Disclosure obligations|Regulation",,
,,Resolution 267/2019 National plan for the restoration of native forests,"<p>The creation of the National Plan for the Restoration of Native Forests has the general objective of promoting the restoration, recovery and rehabilitation of 20 million hectares native forest in Argentina per year as well as the re-establishment of ecosystem services, enhancement of biodiversity and to promote the reduction of GHG emission from deforestation.</p>
",https://app.climatepolicyradar.org/documents/resolution-267-2019-national-plan-for-the-restoration-of-native-forests_58dc,2019-07-23T00:00:00+00:00,ARG,Resolution 267/2019 National plan for the restoration of native forests,https://app.climatepolicyradar.org/documents/resolution-267-2019-national-plan-for-the-restoration-of-native-forests_fad7,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-267-2019-325486/texto#,Resolution,n/a,Legislative,Spanish,CPR,Mitigation,,Agriculture;LULUCF,Mitigation;Forests;Agriculture,,"Processes, plans and strategies|Governance",Mitigation,,Agriculture;LULUCF,Mitigation;Forests;Agriculture,,"Processes, plans and strategies|Governance",,
,,Resolution 520/2018 on Regulation of solar thermal heaters,"<p>Resolution 520/2018</p>
",https://app.climatepolicyradar.org/documents/resolution-520-2018-on-regulation-of-solar-thermal-heaters_1909,2018-09-01T00:00:00+00:00,ARG,Resolution 520/2018 on Regulation of solar thermal heaters,https://app.climatepolicyradar.org/documents/resolution-520-2018-on-regulation-of-solar-thermal-heaters_fddd,https://cdn.climatepolicyradar.org/navigator/ARG/2018/resolution-520-2018-on-regulation-of-solar-thermal-heaters_6c4de104b578da435c5be28e6a3b9588.pdf,Resolution,n/a,Legislative,English,CPR,Mitigation,,Buildings;Energía,Buildings;Heat;Energía;Renewables,,Subsidies|Economic;Climate finance tools|Economic,Mitigation,,Buildings;Energía,Buildings;Heat;Energía;Renewables,,Subsidies|Economic;Climate finance tools|Economic,,
,,National Mitigation Plan for Transport Sector,"<p>Intregated national sectoral plan for transport aiming to guide the development of the sector to satisfy present and future mobility needs of citizens in a sustainable way. It includes an investment plan aiming to prioritize railway transport, low-emissions mobility, alternative transport such as cycling, public transport, as well as modernization of air transport and freight transport systems. These measures aim to reduce GHG emissions from the transport sector by 5.91 MtCO2e by 2030 against a BAU scenario, or accumulated savings of 46.95 MtCO2e for the period 2011-2030. Total emissions from transport by 2030 are estimated to be 82.5 MtCO2e under the BAU scenario, and 76.6 MtCO2e (7.2% lower than BAU) on the additional measures scenario.</p>
",https://app.climatepolicyradar.org/documents/national-mitigation-plan-for-transport-sector_5167,2017-10-01T00:00:00+00:00,ARG,National Mitigation Plan for Transport Sector,https://app.climatepolicyradar.org/documents/national-mitigation-plan-for-transport-sector_4259,https://cdn.climatepolicyradar.org/navigator/ARG/2017/national-mitigation-plan-for-transport-sector_e45628b740783545725daee9fcda431d.pdf,Plan,n/a,Executive,Spanish,CPR,Mitigation,,Transport,Energía Demand;Energía Efficiency;Mitigation;Renewables,,"Processes, plans and strategies|Governance",Mitigation,,Transport,Energía Demand;Energía Efficiency;Mitigation;Renewables,,"Processes, plans and strategies|Governance",,
,,National Strategy for the Use of Carbon Markets,"<p>The National Strategy for the Use of Carbon Markets (ENUMeC) in the Argentine Republic is a framework that facilitates the development of carbon markets with the objective of reducing emissions and promoting sustainable development. These markets allow companies and governments to buy and sell emission rights, thus incentivizing emissions reduction and environmental compensation. The ENUMeC deepens the national position regarding the use of carbon markets and creates a common framework for their implementation in the national territory. Among the axes of the strategy are:</p>
<p>- Strengthen national and subnational access to climate financing.</p>
<p>- Participate in carbon markets regulated in the Paris Agreement and other national and international compliance markets.</p>
<p>- Accompany the participation of the private sector in voluntary markets.</p>
<p>- Generate non-commercial approaches and support subnational governments in the implementation of market schemes to fulfill their climate change response plans.</p>
",https://app.climatepolicyradar.org/documents/national-strategy-for-the-use-of-carbon-markets_cbce,2023-08-01T00:00:00+00:00,ARG,National Strategy for the Use of Carbon Markets,https://app.climatepolicyradar.org/documents/national-strategy-for-the-use-of-carbon-markets_4e78,https://cdn.climatepolicyradar.org/navigator/ARG/2023/national-strategy-for-the-use-of-carbon-markets_52abedb862460c59685d6c678ec76691.pdf,Strategy,n/a,Executive,Spanish,CPR,Mitigation,,Economy-wide,Carbon Pricing;Carbon Budget;Carbon Accounting;Carbon Credits;Energía Efficiency;Energía Demand;Mitigation;Renewables,,"Processes, plans and strategies|Governance;Carbon pricing & emissions trading|Economic",Mitigation,,Economy-wide,Carbon Pricing;Carbon Budget;Carbon Accounting;Carbon Credits;Energía Efficiency;Energía Demand;Mitigation;Renewables,,"Processes, plans and strategies|Governance;Carbon pricing & emissions trading|Economic",,
,,National Strategy for Sustainable Finanzas,"<p>The National Strategy for Sustainable Finanzas (ENFS) is an initiative of the Ministry of Economy of Argentina that seeks to develop sustainable finance in the country. The ENFS defines axes and guidelines for the identification and addressing of risks and opportunities linked to climate change, contributing to the strengthening, development and stability of the Argentine financial system.  The ENFS seeks to promote alternatives to mobilize in a scalable way the necessary resources to encourage public and private investments that contribute to achieving economic and social objectives within the framework of the Sustainable Development Goals (SDGs).</p>
",https://app.climatepolicyradar.org/documents/national-strategy-for-sustainable-finance_911e,2023-05-23T00:00:00+00:00,ARG,National Strategy for Sustainable Finanzas,https://app.climatepolicyradar.org/documents/national-strategy-for-sustainable-finance_07b0,https://www.bcra.gob.ar/Pdfs/SistemasFinancierosYdePagos/Sustainable%20Finance%20National%20Strategy.pdf,Strategy,n/a,Executive,English,CPR,Mitigation,,Economy-wide,Energía Demand;Energía Efficiency;Mitigation;Renewables,,"Processes, plans and strategies|Governance",Mitigation,,Economy-wide,Energía Demand;Energía Efficiency;Mitigation;Renewables,,"Processes, plans and strategies|Governance",,
,,Resolution 339/2021 on the use of LPG for nautic engines,"<p>Regulations for the use of Liquified Petroleum Gas (LPG) on nautic engines, with the aim of improving the efficiency and emissions intensity of maritime transport</p>
",https://app.climatepolicyradar.org/documents/resolution-339-2021-on-the-use-of-lpg-for-nautic-engines_b73f,2021-04-20T00:00:00+00:00,ARG,Resolution 339/2021 on the use of LPG for nautic engines,https://app.climatepolicyradar.org/documents/resolution-339-2021-on-the-use-of-lpg-for-nautic-engines_9fca,https://www.argentina.gob.ar/noticias/la-secretaria-de-energia-reglamento-la-utilizacion-del-glp-nautico-una-nueva-tecnologia-de,Resolution,n/a,Executive,Spanish,CPR,Mitigation,,Transport,Mitigation,,"Standards, obligations and norms|Regulation",Mitigation,,Transport,Mitigation,,"Standards, obligations and norms|Regulation",,
,,Resolution 290/2021 on the National Program to Strengthen the Circular Economy,"<p>Integrated plan to reduce and manage waste, while increasing gender equality and working conditions for workers of the waste collection, management and recycling sector.</p>
",https://app.climatepolicyradar.org/documents/resolution-290-2021-on-the-national-program-to-strengthen-the-circular-economy_90a4,2021-09-08T00:00:00+00:00,ARG,Resolution 290/2021 on the National Program to Strengthen the Circular Economy,https://app.climatepolicyradar.org/documents/resolution-290-2021-on-the-national-program-to-strengthen-the-circular-economy_16a7,https://servicios.infoleg.gob.ar/infolegInternet/anexos/350000-354999/354060/norma.htm,Resolution,n/a,Executive,Spanish,CPR,Mitigation,,Industry;Waste,Mitigation,,"Processes, plans and strategies|Governance",Mitigation,,Industry;Waste,Mitigation,,"Processes, plans and strategies|Governance",,
,,"Law 27,605 on the solidary and extraordinary contribution to help mitigate the effects of the pandemic, including gas sector development subsidies","<p>Law 27,605 on the solidary and extraordinary contribution to help mitigate the effects of the pandemic, including gas sector development subsidies</p>
",https://app.climatepolicyradar.org/documents/law-27605-on-the-solidary-and-extraordinary-contribution-to-help-mitigate-the-effects-of-the-pandemic-including-gas-sector-development-subsidies_5b9a,2020-12-18T00:00:00+00:00,ARG,"Law 27,605 on the solidary and extraordinary contribution to help mitigate the effects of the pandemic, including gas sector development subsidies",https://app.climatepolicyradar.org/documents/law-27605-on-the-solidary-and-extraordinary-contribution-to-help-mitigate-the-effects-of-the-pandemic-including-gas-sector-development-subsidies_5a13,https://www.argentina.gob.ar/economia/politicatributaria/covid-19-medidas-tributarias-congreso-nacional-y-otros-organismos/ley,Law,n/a,Legislative,Spanish,CPR,Mitigation,,Energía,Electricity;Heat;Gas;Finanzas;Climate Finanzas;Tax,,Subsidies|Economic;Otra|Economic;Climate finance tools|Economic,Mitigation,,Energía,Electricity;Heat;Gas;Finanzas;Climate Finanzas;Tax,,Subsidies|Economic;Otra|Economic;Climate finance tools|Economic,,
,,"Law 27,520 on Minimum Budget for adaptation and mitigation of climate change","<p>The Law establishes minimum budgets for the management of climate change, including for the design and implementation of mitigation and adaptation policies, actions, instruments and strategies. The law makes provisions, amongst others, for the development of a National Climate Change Response Plan, a National System for GHG Inventory and Monitoring of Mitigation, to institutionalise and give continuity to the National Climate Change Cabinet.</p>
",https://app.climatepolicyradar.org/documents/law-27520-on-minimum-budget-for-adaptation-and-mitigation-of-climate-change_0bfa,2019-12-20T00:00:00+00:00,ARG,"Law 27,520 on Minimum Budget for adaptation and mitigation of climate change",https://app.climatepolicyradar.org/documents/law-27520-on-minimum-budget-for-adaptation-and-mitigation-of-climate-change_4bd3,https://www.boletinoficial.gob.ar/detalleAviso/primera/224006/20191220,Law,n/a,Legislative,Spanish,CPR,Mitigation;Adaptation,,Economy-wide,National Energía And Climate Plans,,"Processes, plans and strategies|Governance;MRV|Governance",Mitigation;Adaptation,,Economy-wide,National Energía And Climate Plans,,"Processes, plans and strategies|Governance;MRV|Governance",,
,,"Law 27,487 on Extension and amendment of Law Nr 25,080 related to the investments for cultivated forests","<p>The overall aim of this law is to increase the investments, area, and enhancement of the sustainable management of cultivated forests within the country. The law grants among other benefits, fiscal stability (e.g. tax relief) to the actors involved in the activity, as outlined in the article 7 of the law and subsidies for the implementation of the cultivated forested according to the size of the field in hectares, as outlined in the article 17.</p>
",https://app.climatepolicyradar.org/documents/law-27487-on-extension-and-amendment-of-law-nr-25080-related-to-the-investments-for-cultivated-forests_71b5,2019-02-25T00:00:00+00:00,ARG,"Law 27,487 on Extension and amendment of Law Nr 25,080 related to the investments for cultivated forests",https://app.climatepolicyradar.org/documents/law-27487-on-extension-and-amendment-of-law-nr-25080-related-to-the-investments-for-cultivated-forests_b7ac,https://www.pensamientocivil.com.ar/legislacion/4046-modificacion-ley-ndeg-25080-inversiones-para-bosques-cultivados-ley-no,Law,n/a,Legislative,Spanish,CPR,Mitigation,,LULUCF;Agriculture,Agriculture,,"Standards, obligations and norms|Regulation",Mitigation,,LULUCF;Agriculture,Agriculture,,"Standards, obligations and norms|Regulation",,
,,Resolution 174/2018 on National Programme for Good Agricultural Practices in Fruit and Vegetable Products,"<p>&quot;The main objective of this program is to promote agriculture that preserves natural resources through education, transfer of technology and development measures. It aims to improve the quality of fruit and vegetable products and encourage sustainable agricultural practices.</p><p> The objectives of this program are the promotion, dissemination and adoption of GOOD SUSTAINABLE AGRICULTURAL PRACTICES, hereinafter BPAS, to promote the safety of fruit and vegetable foods, the adoption of technologies, practices for the integral management of natural resources and production systems, compatible with sustainable development in economic, social and environmental terms, to contribute to improving the quality of products and processes&quot;</p>
",https://app.climatepolicyradar.org/documents/resolution-174-2018-on-national-programme-for-good-agricultural-practices-in-fruit-and-vegetable-products_e04a,2018-06-25T00:00:00+00:00,ARG,Resolution 174/2018 on National Programme for Good Agricultural Practices in Fruit and Vegetable Products,https://app.climatepolicyradar.org/documents/resolution-174-2018-on-national-programme-for-good-agricultural-practices-in-fruit-and-vegetable-products_a143,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-174-2018-311805/texto,Resolution,n/a,Executive,Spanish,CPR,Mitigation,,Agriculture;LULUCF,Mitigation;Energía Demand;Energía Efficiency,,"Education, training and knowledge dissemination|Information;Otra|Governance;Research & Development, knowledge generation|Information",Mitigation,,Agriculture;LULUCF,Mitigation;Energía Demand;Energía Efficiency,,"Education, training and knowledge dissemination|Information;Otra|Governance;Research & Development, knowledge generation|Information",,
,, Renewable Energía Auctions - RenovAr Program,"<p>""The renewable energy auction programme of Argentina (RenovAr) was set in motion with Resolution No. 136/2016, which: Launches an auction process so that bidders can apply to the first round of RenovAr program, approves the bidding terms and conditions of the auction, and approves the Power Purchase Agreements (PPA) for renewable electricity. The resolution builds upon the framework defined by Decree 531 and Law 27.191. The first round in 2016 had a total capacity of 6,346 MW comprising of wind (3,469 MW), and solar (2,813 MW). Winning projects received contracts for period of 20 years. The selected projects must be completed in a timeframe of two years. The second round of auctions (called RenovAr 1.5) in mid-November 2016 brought an additional 400 MW of wind and 200 MW of solar PV capacity, and was followed by new rounds in 2017 and 2018. </p>
<p>The third round called """"MiniRen"""" for renewable power capacity procurement was opened in 2018 with 400MW renewable capacity for competition and in 2019 the results showed that 259 MW were awarded long-term power purchase agreements (PPAs).""</p>
",https://app.climatepolicyradar.org/documents/renewable-energy-auctions-renovar-program_4bda,2016-07-25T00:00:00+00:00,ARG,Renewable Energía Auctions - RenovAr Program,https://app.climatepolicyradar.org/documents/renewable-energy-auctions-renovar-program_0f24,https://servicios.infoleg.gob.ar/infolegInternet/anexos/260000-264999/263786/norma.htm,Programme,n/a,Executive,Spanish,CPR,Mitigation,,Energía,Renewables,,Provision of climate funds|Direct Investment,Mitigation,,Energía,Renewables,,Provision of climate funds|Direct Investment,,
,,Decree 494/2012 on Truck Fleet Renewal and Expansion Program,"<p>&quot;Decree 494/2012</p><p> Financing program to incentivize the renewal and expansion of the truck fleet. It provides accessible credits to buy new freight and long-distance passenger vehicles.</p><p> &quot;&quot;Financing Program for the Expansion and Renewal of the Motor Freight Transport Fleet&quot;&quot;&quot;</p>
",https://app.climatepolicyradar.org/documents/decree-494-2012-on-truck-fleet-renewal-and-expansion-program_c883,2012-11-04T00:00:00+00:00,ARG,Decree 494/2012 on Truck Fleet Renewal and Expansion Program,https://app.climatepolicyradar.org/documents/decree-494-2012-on-truck-fleet-renewal-and-expansion-program_b5ae,https://www.argentina.gob.ar/normativa/nacional/decreto-494-2012-196064/texto,Decree,n/a,Executive,Spanish,CPR,Mitigation,,Transport,Climate Finanzas;Finanzas;Energía Efficiency,,Climate finance tools|Economic;Provision of climate funds|Direct Investment,Mitigation,,Transport,Climate Finanzas;Finanzas;Energía Efficiency,,Climate finance tools|Economic;Provision of climate funds|Direct Investment,,
,,Resolution No 1448/2012 on light-duty vehicles fuel emissions standard,"<p>""As of 1 January 2013, Resolution No 1448/2012 requires that light-duty engines of all fuel types must comply with Euro 5a (European Regulation 715/2007 and 692/2008).""</p>
",https://app.climatepolicyradar.org/documents/resolution-no-1448-2012-on-light-duty-vehicles-fuel-emissions-standard_f314,2012-01-01T00:00:00+00:00,ARG,Resolution No 1448/2012 on light-duty vehicles fuel emissions standard,https://app.climatepolicyradar.org/documents/resolution-no-1448-2012-on-light-duty-vehicles-fuel-emissions-standard_2c55,https://www.transportpolicy.net/standard/argentina-light-duty-emissions/?title=argentina:_light-duty:_emissions,Resolution,n/a,Executive,English,CPR,Mitigation,,Transport,Energía Efficiency,,"Standards, obligations and norms|Regulation",Mitigation,,Transport,Energía Efficiency,,"Standards, obligations and norms|Regulation",,
,,"Law 26,562 on Minimum Environmental Protection Budgets to Control Burning Activities","<p>&quot;The law 26.562 sets minimum budgets to protect endangered forests from agricultural burning activities. It aims to prevent forest fires and environmental degradation, and to ensure public safety.</p><p> The purpose of this law is to establish minimum environmental protection standards for burning activities throughout the national territory, in order to prevent fires, environmental damage and risks to public health and safety.&quot;</p>
",https://app.climatepolicyradar.org/documents/law-26562-on-minimum-environmental-protection-budgets-to-control-burning-activities_eea9,2009-12-15T00:00:00+00:00,ARG,"Law 26,562 on Minimum Environmental Protection Budgets to Control Burning Activities",https://app.climatepolicyradar.org/documents/law-26562-on-minimum-environmental-protection-budgets-to-control-burning-activities_e163,https://servicios.infoleg.gob.ar/infolegInternet/anexos/160000-164999/161547/norma.htm,Law,n/a,Legislative,Spanish,CPR,Mitigation,,Agriculture;LULUCF,Mitigation;Agriculture,,"Standards, obligations and norms|Regulation;MRV|Governance",Mitigation,,Agriculture;LULUCF,Mitigation;Agriculture,,"Standards, obligations and norms|Regulation;MRV|Governance",,
,,"Law 26,566 on Nuclear Activity","<p>Providing various rights and fiscal benefits to Nucleoeléctrica Argentina Sociedad Anónima (NASA) to extend the life of nuclear power plants</p>
",https://app.climatepolicyradar.org/documents/law-26566-on-nuclear-activity_d6b7,2009-11-25T00:00:00+00:00,ARG,"Law 26,566 on Nuclear Activity",https://app.climatepolicyradar.org/documents/law-26566-on-nuclear-activity_fdbb,https://servicios.infoleg.gob.ar/infolegInternet/verNorma.do;jsessionid=4B10C24EDE24E3A047C6C8663DDD8019?id=162106,Law,n/a,Legislative,Spanish,CPR,Mitigation,,Energía,Mitigation,,Tax incentives|Economic;MRV|Governance,Mitigation,,Energía,Mitigation,,Tax incentives|Economic;MRV|Governance,,
,,Decree 1070/05 Creation of the Argentine Carbon Fund,"<p>Decree 1070/05 (2005). This decree creates the Argentine Carbon Fund to support the development of project eligible for the Clean Development Mechanism.</p>
",https://app.climatepolicyradar.org/documents/decree-1070-05-creation-of-the-argentine-carbon-fund_5a31,2005-01-01T00:00:00+00:00,ARG,Decree 1070/05 Creation of the Argentine Carbon Fund,https://app.climatepolicyradar.org/documents/decree-1070-05-creation-of-the-argentine-carbon-fund_9691,https://www.unepfi.org/fileadmin/events/2004/cop10/cop10_carlino_dna_2004.pdf,Decree,n/a,Executive,English,CPR,Mitigation,,Economy-wide,Energía Demand;Energía Efficiency;Renewables;Mitigation,,Institutional mandates|Governance,Mitigation,,Economy-wide,Energía Demand;Energía Efficiency;Renewables;Mitigation,,Institutional mandates|Governance,,
,,Resolution 1156/04 on National Programme for Biofuels,"<p>In 2004, the Ministry of Agriculture createdthe National ProgrammeforBiofuels (Resolution1156/04), which defines objectives to promote the use of biofuels as an alternative to fossil fuels. A central part of the programmeis to support rural development in the execution of biofuels projects(biodiesel and bioethanol).</p>
",https://app.climatepolicyradar.org/documents/resolution-1156-04-on-national-programme-for-biofuels_2859,2004-01-01T00:00:00+00:00,ARG,Resolution 1156/04 on National Programme for Biofuels,https://app.climatepolicyradar.org/documents/resolution-1156-04-on-national-programme-for-biofuels_ccff,https://cdn.climatepolicyradar.org/navigator/ARG/2004/resolution-1156-04-on-national-programme-for-biofuels_6c4de104b578da435c5be28e6a3b9588.pdf,Resolution,n/a,Executive,English,CPR,Mitigation,,Transport,Renewables,,"Standards, obligations and norms|Regulation",Mitigation,,Transport,Renewables,,"Standards, obligations and norms|Regulation",,
,,Resolution 1237/02 on Emissions limits for heavy-duty vehicles running on gas,"<p>""Resolution 1237/02: The following emissions limits will be applied to emissions of heavy-duty vehicles running on gas:</p>
<p>- Carbon Monoxide - 4,0 g/kWh</p>
<p>- Total hydrocarbons - 2,2 g/kWh</p>
<p>- Non-methane hydrocarbons - 1.1 g/kWh</p>
<p>- Nitrogen oxides - 7,0 g/kWh</p>
<p>Alternatively, the following emissions limits are used:</p>
<p>- Carbon Monoxide - 5,45 g/kWh</p>
<p>- Total hydrocarbons - 1,6 g/kWh</p>
<p>- Non-methane hydrocarbons - 0.78 g/kWh</p>
<p>- Nitrogen oxides - 5,0 g/kWh""</p>
",https://app.climatepolicyradar.org/documents/resolution-1237-02-on-emissions-limits-for-heavy-duty-vehicles-running-on-gas_8f17,2002-11-21T00:00:00+00:00,ARG,Resolution 1237/02 on Emissions limits for heavy-duty vehicles running on gas,https://app.climatepolicyradar.org/documents/resolution-1237-02-on-emissions-limits-for-heavy-duty-vehicles-running-on-gas_9892,https://www.transportpolicy.net/standard/argentina-heavy-duty-emissions/,Resolution,n/a,Executive,English,CPR,Mitigation,,Transport,Energía Efficiency,,"Standards, obligations and norms|Regulation",Mitigation,,Transport,Energía Efficiency,,"Standards, obligations and norms|Regulation",,
